X,Y,Z
-0.0315596,-0.16336,0.633
-0.0302422,-0.16336,0.633
-0.0288791,-0.163102,0.632
-0.0269969,-0.159747,0.619
-0.987491,-0.44337,1.732
-1.00661,-0.453609,1.772
-1.00292,-0.453609,1.772
-0.999234,-0.453609,1.772
-0.995546,-0.453609,1.772
-0.991858,-0.453609,1.772
-0.98817,-0.453609,1.772
-0.992261,-0.457193,1.786
-0.996293,-0.460777,1.8
-0.992547,-0.460777,1.8
-0.988801,-0.460777,1.8
-0.985054,-0.460777,1.8
-1.0053,-0.47204,1.844
-0.985709,-0.464617,1.815
-0.989506,-0.468201,1.829
-0.888494,-0.68323,2.669
-0.893525,-0.691421,2.701
-0.9096,-0.708317,2.767
-0.903842,-0.708317,2.767
-0.887048,-0.699613,2.733
-0.87104,-0.691421,2.701
-0.845234,-0.675294,2.638
-0.839743,-0.675294,2.638
-0.834253,-0.675294,2.638
-0.217173,-0.199414,0.779
-0.214998,-0.198902,0.777
-0.211733,-0.197366,0.771
-0.210129,-0.197366,0.771
-0.207983,-0.196854,0.769
-0.206383,-0.196854,0.769
-0.203983,-0.196086,0.766
-0.201597,-0.195318,0.763
-0.199484,-0.194806,0.761
-0.101477,-0.201462,0.787
-0.1006,-0.202998,0.793
-0.0989494,-0.202998,0.793
-0.096931,-0.20223,0.79
-0.0952869,-0.20223,0.79
-0.0930501,-0.20095,0.785
-0.0904848,-0.198902,0.777
-0.0885246,-0.198134,0.774
-0.0869138,-0.198134,0.774
-0.0849723,-0.197366,0.771
-0.046076,-0.166904,0.652
-0.0443075,-0.165368,0.646
-0.0428301,-0.164856,0.644
-0.0414898,-0.164856,0.644
-0.0401496,-0.164856,0.644
-0.0388093,-0.164856,0.644
-0.0373527,-0.164344,0.642
-0.0358483,-0.163576,0.639
-0.0345724,-0.163832,0.64
-0.0329808,-0.162552,0.635
-0.0315596,-0.16204,0.633
-0.0302422,-0.16204,0.633
-0.0288791,-0.161784,0.632
